"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Регистрация пользователя","Обязательные поля","0","0","3","0","0"
"","Авторизация пользователя","Неверные данные","0","0","2","0","0"
"","Создание заказа","Неверный хеш ингредиента","0","0","1","0","0"
"","Создание заказа","Заказ с ингредиентами (проверка состава)","0","0","1","0","0"
"","Создание заказа","Заказ без ингредиентов","0","0","1","0","0"
"","Создание заказа","Создание заказа без авторизации","0","0","1","0","0"
"","Регистрация пользователя","Успешная регистрация","0","0","1","0","0"
"","Авторизация пользователя","Успешный вход","0","0","1","0","0"
"","Регистрация пользователя","Дубликат пользователя","0","0","1","0","0"
"","Создание заказа","Создание заказа с авторизацией","0","0","1","0","0"
