"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 01 21:20:52 MSK 2026","Mon Jun 01 21:20:52 MSK 2026","216","","praktikum.tests.RegisterUserTests","","praktikum.tests.RegisterUserTests","registerMissingPasswordFailure","registerMissingPasswordFailure","Регистрация без поля password"
"passed","Mon Jun 01 21:20:48 MSK 2026","Mon Jun 01 21:20:49 MSK 2026","1303","","praktikum.tests.LoginUserTests","","praktikum.tests.LoginUserTests","loginWithInvalidEmailFailure","loginWithInvalidEmailFailure","Вход с неверным email"
"passed","Mon Jun 01 21:20:37 MSK 2026","Mon Jun 01 21:20:39 MSK 2026","1505","","praktikum.tests.CreateOrderTests","","praktikum.tests.CreateOrderTests","createOrderWithInvalidIngredientHashFailure","createOrderWithInvalidIngredientHashFailure","Передача несуществующего ID ингредиента – ожидаем 500"
"passed","Mon Jun 01 21:20:52 MSK 2026","Mon Jun 01 21:20:52 MSK 2026","207","","praktikum.tests.RegisterUserTests","","praktikum.tests.RegisterUserTests","registerMissingNameFailure","registerMissingNameFailure","Регистрация без поля name"
"passed","Mon Jun 01 21:20:31 MSK 2026","Mon Jun 01 21:20:37 MSK 2026","5924","","praktikum.tests.CreateOrderTests","","praktikum.tests.CreateOrderTests","createOrderWithIngredientsVerifyResponse","createOrderWithIngredientsVerifyResponse","Проверка, что заказ создаётся с указанными ингредиентами"
"passed","Mon Jun 01 21:20:39 MSK 2026","Mon Jun 01 21:20:40 MSK 2026","1441","","praktikum.tests.CreateOrderTests","","praktikum.tests.CreateOrderTests","createOrderWithoutIngredientsFailure","createOrderWithoutIngredientsFailure","Пустой список ингредиентов – ошибка 400"
"passed","Mon Jun 01 21:20:45 MSK 2026","Mon Jun 01 21:20:47 MSK 2026","1466","","praktikum.tests.LoginUserTests","","praktikum.tests.LoginUserTests","loginWithInvalidPasswordFailure","loginWithInvalidPasswordFailure","Вход с неверным паролем"
"passed","Mon Jun 01 21:20:37 MSK 2026","Mon Jun 01 21:20:37 MSK 2026","263","","praktikum.tests.CreateOrderTests","","praktikum.tests.CreateOrderTests","createOrderWithoutAuthActualBehavior","createOrderWithoutAuthActualBehavior","Попытка создать заказ без токена (фактическое поведение API – 200)"
"passed","Mon Jun 01 21:20:51 MSK 2026","Mon Jun 01 21:20:51 MSK 2026","190","","praktikum.tests.RegisterUserTests","","praktikum.tests.RegisterUserTests","registerMissingEmailFailure","registerMissingEmailFailure","Регистрация без поля email"
"passed","Mon Jun 01 21:20:49 MSK 2026","Mon Jun 01 21:20:51 MSK 2026","1146","","praktikum.tests.RegisterUserTests","","praktikum.tests.RegisterUserTests","registerNewUserSuccess","registerNewUserSuccess","Регистрация нового уникального пользователя"
"passed","Mon Jun 01 21:20:47 MSK 2026","Mon Jun 01 21:20:48 MSK 2026","1403","","praktikum.tests.LoginUserTests","","praktikum.tests.LoginUserTests","loginExistingUserSuccess","loginExistingUserSuccess","Вход под существующим пользователем"
"passed","Mon Jun 01 21:20:51 MSK 2026","Mon Jun 01 21:20:52 MSK 2026","1299","","praktikum.tests.RegisterUserTests","","praktikum.tests.RegisterUserTests","registerExistingUserFailure","registerExistingUserFailure","Регистрация уже существующего пользователя"
"passed","Mon Jun 01 21:20:40 MSK 2026","Mon Jun 01 21:20:45 MSK 2026","4905","","praktikum.tests.CreateOrderTests","","praktikum.tests.CreateOrderTests","createOrderWithAuthSuccess","createOrderWithAuthSuccess","Успешное создание заказа авторизованным пользователем"
